region,rubric,count,rank
Алтайский край,Ресторан,280,1.0
Алтайский край,Кафе,258,2.0
Алтайский край,Гостиница,211,3.0
Алтайский край,Магазин продуктов,95,4.0
Алтайский край,Супермаркет,93,5.0
Алтайский край,Быстрое питание,88,6.0
Алтайский край,"Бар, паб",82,7.0
Алтайский край,Салон красоты,76,8.0
Алтайский край,Доставка еды и обедов,68,9.0
Алтайский район,Ресторан,20,1.0
Алтайский район,Кафе,17,2.0
Алтайский район,"Бар, паб",12,3.0
Алтайский район,Гостиница,9,4.0
Алтайский район,Быстрое питание,7,5.0
Алтайский район,Спортбар,7,6.0
Алтайский район,Салон красоты,6,7.0
Алтайский район,Торговый центр,6,8.0
Алтайский район,"Автосервис, автотехцентр",5,9.0
Амурская область,Ресторан,71,1.0
Амурская область,Кафе,64,2.0
Амурская область,Гостиница,42,3.0
Амурская область,"Бар, паб",39,4.0
Амурская область,Супермаркет,28,5.0
Амурская область,Магазин продуктов,25,6.0
Амурская область,Доставка еды и обедов,21,7.0
Амурская область,Быстрое питание,20,8.0
Амурская область,Салон красоты,20,9.0
Архангельск,Ресторан,101,1.0
Архангельск,Кафе,100,2.0
Архангельск,Гостиница,63,3.0
Архангельск,"Бар, паб",36,4.0
Архангельск,Быстрое питание,26,5.0
Архангельск,Супермаркет,26,6.0
Архангельск,Кофейня,23,7.0
Архангельск,Салон красоты,23,8.0
Архангельск,Банкетный зал,21,9.0
Архангельская область,Кафе,63,1.0
Архангельская область,Ресторан,62,2.0
Архангельская область,Гостиница,47,3.0
Архангельская область,"Бар, паб",33,4.0
Архангельская область,Доставка еды и обедов,31,5.0
Архангельская область,Салон красоты,29,6.0
Архангельская область,Ногтевая студия,27,7.0
Архангельская область,Быстрое питание,26,8.0
Архангельская область,Магазин продуктов,25,9.0
Астраханская область,Кафе,44,1.0
Астраханская область,Ресторан,35,2.0
Астраханская область,Гостиница,28,3.0
Астраханская область,Магазин продуктов,22,4.0
Астраханская область,"Бар, паб",19,5.0
Астраханская область,Супермаркет,15,6.0
Астраханская область,"Автосервис, автотехцентр",12,7.0
Астраханская область,Быстрое питание,12,8.0
Астраханская область,Доставка еды и обедов,10,9.0
Астрахань,Кафе,142,1.0
Астрахань,Ресторан,121,2.0
Астрахань,Гостиница,108,3.0
Астрахань,Супермаркет,46,4.0
Астрахань,Магазин продуктов,44,5.0
Астрахань,"Бар, паб",43,6.0
Астрахань,Салон красоты,37,7.0
Астрахань,Быстрое питание,32,8.0
Астрахань,Парк культуры и отдыха,30,9.0
Барнаул,Кафе,4,1.0
Барнаул,Ресторан,3,2.0
Барнаул,"Бар, паб",2,3.0
Барнаул,Магазин продуктов,2,4.0
Барнаул,Банкетный зал,1,5.0
Барнаул,Быстрое питание,1,6.0
Барнаул,Кофейня,1,7.0
Барнаул,Музей,1,8.0
Барнаул,Ногтевая студия,1,9.0
Белгород,Ресторан,164,1.0
Белгород,Кафе,148,2.0
Белгород,Гостиница,105,3.0
Белгород,Магазин продуктов,71,4.0
Белгород,"Бар, паб",60,5.0
Белгород,Супермаркет,52,6.0
Белгород,Быстрое питание,50,7.0
Белгород,Доставка еды и обедов,48,8.0
Белгород,Салон красоты,46,9.0
Белгородская область,Ресторан,101,1.0
Белгородская область,Кафе,98,2.0
Белгородская область,Гостиница,63,3.0
Белгородская область,"Бар, паб",49,4.0
Белгородская область,Салон красоты,40,5.0
Белгородская область,Магазин продуктов,34,6.0
Белгородская область,Супермаркет,33,7.0
Белгородская область,Кофейня,30,8.0
Белгородская область,Ногтевая студия,27,9.0
Белгородский район,Ресторан,27,1.0
Белгородский район,Гостиница,22,2.0
Белгородский район,Кафе,19,3.0
Белгородский район,Быстрое питание,8,4.0
Белгородский район,Пиццерия,8,5.0
Белгородский район,Магазин продуктов,7,6.0
Белгородский район,Суши-бар,7,7.0
Белгородский район,"База, дом отдыха",6,8.0
Белгородский район,Достопримечательность,6,9.0
Брянск,Кафе,143,1.0
Брянск,Ресторан,135,2.0
Брянск,Гостиница,125,3.0
Брянск,Магазин продуктов,55,4.0
Брянск,Салон красоты,52,5.0
Брянск,Супермаркет,52,6.0
Брянск,Быстрое питание,46,7.0
Брянск,"Бар, паб",42,8.0
Брянск,Ногтевая студия,37,9.0
Брянская область,Кафе,43,1.0
Брянская область,Ресторан,34,2.0
Брянская область,Гостиница,27,3.0
Брянская область,"Бар, паб",17,4.0
Брянская область,Развлекательный центр,15,5.0
Брянская область,Магазин продуктов,11,6.0
Брянская область,Салон красоты,11,7.0
Брянская область,Супермаркет,11,8.0
Брянская область,Торговый центр,10,9.0
Брянский район,Гостиница,15,1.0
Брянский район,Кафе,12,2.0
Брянский район,Ресторан,12,3.0
Брянский район,"Бар, паб",10,4.0
Брянский район,Банкетный зал,7,5.0
Брянский район,Парикмахерская,6,6.0
Брянский район,Супермаркет,6,7.0
Брянский район,"Автосервис, автотехцентр",5,8.0
Брянский район,Магазин продуктов,4,9.0
Великий Новгород,Гостиница,171,1.0
Великий Новгород,Ресторан,171,2.0
Великий Новгород,Кафе,155,3.0
Великий Новгород,"Бар, паб",59,4.0
Великий Новгород,Музей,59,5.0
Великий Новгород,Салон красоты,57,6.0
Великий Новгород,Магазин продуктов,54,7.0
Великий Новгород,Супермаркет,50,8.0
Великий Новгород,Быстрое питание,44,9.0
Владивосток,Салон красоты,3,1.0
Владивосток,"Бар, паб",2,2.0
Владивосток,Гостиница,2,3.0
Владивосток,Косметология,2,4.0
Владивосток,Ногтевая студия,2,5.0
Владивосток,Ресторан,2,6.0
Владивосток,Салон бровей и ресниц,2,7.0
Владивосток,АЗС,1,8.0
Владивосток,"Автотранспортное предприятие, автобаза",1,9.0
Владимир,Кафе,239,1.0
Владимир,Ресторан,223,2.0
Владимир,Гостиница,185,3.0
Владимир,Супермаркет,101,4.0
Владимир,Салон красоты,92,5.0
Владимир,Магазин продуктов,91,6.0
Владимир,"Бар, паб",85,7.0
Владимир,Быстрое питание,62,8.0
Владимир,Ногтевая студия,46,9.0
Владимирская область,Кафе,345,1.0
Владимирская область,Ресторан,340,2.0
Владимирская область,Гостиница,196,3.0
Владимирская область,Супермаркет,123,4.0
Владимирская область,Магазин продуктов,113,5.0
Владимирская область,Быстрое питание,103,6.0
Владимирская область,Доставка еды и обедов,99,7.0
Владимирская область,"Бар, паб",94,8.0
Владимирская область,Салон красоты,87,9.0
Волгоград,Кафе,482,1.0
